사가, 76, 184
마나, 71, 164
마사, 60, 163
타카, 83, 168
다카, 99, 185
자사, 64, 172
가타, 99, 172
가마, 94, 191
카마, 61, 145
카가, 49, 143
파가, 70, 191
사파, 74, 152
마자, 76, 160
다카, 59, 184
차바, 74, 149
파가, 55, 162
바사, 98, 155
자하, 83, 193
마타, 42, 143
타아, 95, 164
사마, 79, 181
아카, 42, 140
마차, 69, 180
나바, 47, 143
라타, 56, 150
아라, 67, 146
라하, 70, 150
자하, 90, 185
마사, 73, 197
파카, 69, 142
카라, 85, 146
차아, 66, 178
카마, 62, 174
아나, 58, 197
자아, 72, 140
차타, 85, 149
아카, 97, 146
라라, 40, 168
라라, 56, 193
나나, 68, 184
가사, 66, 178
다하, 98, 184
라하, 46, 163
카마, 64, 181
카타, 43, 172
차마, 48, 177
라다, 53, 159
자타, 76, 195
파아, 63, 189
마바, 76, 181
자하, 98, 169
다다, 88, 146
자바, 90, 161
차카, 66, 194
타가, 41, 182
아카, 60, 163
사자, 52, 140
카하, 64, 149
라라, 63, 196
나나, 65, 180
차카, 62, 153
라파, 91, 168
하파, 63, 153
차사, 85, 197
아타, 69, 164
사파, 40, 190
가가, 64, 181
타차, 86, 195
하아, 54, 153
가아, 51, 195
바파, 54, 147
자나, 92, 179
마파, 79, 186
타아, 86, 187
나가, 52, 174
가타, 57, 169
타하, 63, 180
나하, 75, 145
파타, 76, 175
타카, 86, 147
하다, 54, 165
마자, 74, 145
다아, 96, 193
가자, 54, 197
차라, 80, 156
사가, 80, 157
라라, 96, 168
사가, 53, 145
가하, 69, 187
다다, 62, 162
바타, 43, 164
바타, 82, 190
다다, 69, 143
아하, 68, 146
사하, 61, 162
타나, 55, 165
다아, 89, 179
타사, 52, 179
바마, 67, 184
아가, 96, 160
아파, 93, 154
바카, 82, 173
아다, 99, 191
가차, 84, 194
자자, 63, 142
바다, 46, 161
나다, 85, 159
파라, 68, 167
아나, 74, 140
하사, 51, 171
차아, 62, 191
차사, 70, 191
바아, 65, 154
아하, 83, 190
자타, 88, 159
라라, 76, 151
다가, 57, 153
파마, 41, 157
다마, 48, 184
사사, 40, 198
나나, 78, 192
라하, 43, 163
다라, 95, 166
마타, 64, 189
마나, 48, 166
가가, 94, 192
자차, 42, 190
가다, 70, 143
마나, 69, 193
마나, 53, 155
사카, 89, 195
마나, 93, 151
다바, 90, 142
사라, 57, 141
하하, 79, 193
나라, 63, 167
라가, 88, 199
차차, 79, 189
마자, 80, 146
카카, 89, 188
차타, 61, 187
사마, 86, 143
나마, 65, 163
아아, 43, 149
차하, 44, 194
차파, 67, 194
가차, 90, 167
사하, 46, 173
하타, 93, 171
타차, 96, 191
나카, 94, 194
아타, 49, 199
자카, 51, 193
바파, 98, 151
가사, 43, 168
마카, 84, 191
나차, 78, 152
바차, 95, 144
다자, 49, 145
차라, 88, 184
라파, 78, 192
라가, 70, 169
차아, 76, 150
마나, 44, 175
라다, 90, 148
나라, 40, 194
가파, 54, 153
하라, 74, 145
라나, 81, 190
라자, 71, 149
사아, 97, 154
타사, 83, 187
카자, 57, 197
파하, 88, 196
마파, 66, 162
나차, 86, 161
가아, 96, 142
바카, 66, 192
차라, 40, 182
타하, 85, 147
하자, 93, 159
가마, 85, 154
카라, 79, 163
카자, 96, 155
바아, 45, 164
가타, 62, 155
마파, 70, 199
타카, 45, 185
카라, 55, 140
사타, 49, 166
차자, 79, 160
아차, 76, 182
나아, 70, 186
마하, 69, 175
라다, 98, 169
가다, 83, 187
파자, 99, 158
파다, 80, 191
차마, 90, 191
파타, 46, 173
아카, 95, 168
가가, 67, 185
다가, 78, 163
마자, 56, 178
아마, 89, 166
바하, 63, 157
타가, 75, 152
사가, 50, 140
가나, 66, 147
차다, 42, 196
자바, 92, 162
타타, 58, 167
파아, 69, 167
라타, 73, 151
카가, 60, 152
바사, 96, 157
아하, 69, 143
타카, 84, 192
마파, 42, 167
하사, 65, 177
사가, 99, 154
타다, 86, 188
다타, 69, 172
사라, 89, 161
파차, 72, 180
타하, 55, 143
사가, 84, 145
파카, 49, 176
가타, 54, 188
마사, 72, 167
사다, 67, 198
자카, 62, 159
타파, 66, 174
아타, 61, 144
카마, 62, 148
라파, 76, 171
차가, 81, 189
가아, 50, 197
타타, 76, 140
차다, 68, 168
타아, 89, 182
하마, 84, 192
차차, 49, 187
파아, 83, 193
차아, 93, 181
차하, 59, 147
나라, 47, 148
하다, 51, 156
차차, 97, 170
아카, 88, 148
바사, 57, 192
아사, 73, 189
라나, 61, 147
사하, 76, 166
다파, 87, 170
라타, 94, 167
가사, 46, 183
하가, 43, 161
다바, 45, 166
자바, 43, 183
아라, 96, 168
파바, 58, 172
카파, 43, 193
가아, 78, 172
하자, 76, 186
차마, 80, 177
사사, 90, 187
라마, 56, 180
카자, 78, 174
라다, 80, 189
아나, 83, 167
차하, 72, 183
다나, 48, 161
하가, 83, 165
차가, 45, 194
마바, 44, 147
아마, 92, 176
사차, 79, 152
차카, 93, 163
타하, 78, 146
타마, 82, 141
타사, 83, 181
바하, 44, 183
아마, 53, 150
하하, 47, 151
가바, 84, 157
카마, 74, 167
차나, 77, 146
자바, 57, 140
자마, 75, 165
다파, 98, 160
타카, 87, 140
사자, 86, 196
라자, 62, 143
라마, 97, 174
나카, 89, 193
바나, 54, 192
하다, 47, 161
차카, 41, 157
자가, 96, 191
아나, 47, 148
바사, 46, 148
파차, 97, 148
카바, 76, 188
자파, 79, 148
타라, 61, 177
나아, 48, 143
바나, 61, 159
마파, 94, 157
가파, 68, 183
아자, 46, 191
나파, 56, 180
타하, 48, 144
타파, 81, 152
자차, 64, 156
차아, 89, 173
가차, 85, 182
가카, 83, 157
하사, 65, 142
라타, 91, 161
사마, 55, 167
파파, 49, 181
자차, 69, 189
나라, 90, 191
다자, 46, 140
하마, 66, 180
차타, 80, 151
하라, 67, 140
차마, 47, 181
카나, 85, 187
다마, 56, 158
파마, 78, 153
파사, 98, 190
가마, 55, 160
마하, 67, 187
아다, 73, 165
마아, 79, 163
다사, 78, 158
파차, 79, 192
아타, 67, 198
카차, 82, 194
자파, 75, 172
사아, 53, 178
라하, 62, 141
바차, 44, 193
파마, 96, 183
사파, 92, 141
하자, 62, 178
차가, 67, 189
다마, 82, 192
자라, 60, 168
하타, 87, 148
아마, 83, 169
바사, 65, 198
라타, 90, 175
차카, 84, 174
사차, 42, 193
사차, 92, 177
차다, 78, 171
타마, 68, 156
하사, 66, 185
마자, 77, 186
라마, 70, 168
바라, 71, 164
카다, 65, 175
바차, 56, 141
카차, 95, 155
자바, 51, 172
바마, 79, 168
다라, 42, 159
카가, 44, 160
사파, 50, 174
하타, 68, 180
아마, 94, 196
가파, 99, 192
차차, 67, 190
타카, 99, 183
타라, 90, 162
나파, 97, 142
파파, 58, 160
가바, 81, 199
나나, 51, 151
마라, 94, 141
바파, 49, 146
라나, 57, 182
타카, 58, 186
카마, 53, 142
사파, 86, 172
자타, 75, 187
카카, 84, 184
마타, 83, 148
라라, 40, 152
마나, 81, 191
아자, 72, 158
가카, 70, 167
가자, 92, 149
카타, 51, 197
타나, 95, 195
자마, 99, 182
차라, 80, 148
차아, 78, 142
다카, 62, 163
파파, 67, 162
다아, 76, 165
하타, 45, 183
차파, 54, 181
파차, 66, 197
나카, 55, 199
마나, 62, 161
마라, 77, 168
하카, 73, 167
아파, 73, 180
나나, 97, 164
라다, 47, 159
아나, 78, 151
차다, 68, 171
마바, 74, 199
카하, 64, 192
파자, 71, 183
타사, 48, 155
바마, 47, 156
차타, 95, 196
아차, 47, 169
카자, 97, 147
라마, 80, 192
사마, 60, 189
가다, 96, 148
라마, 45, 148
마차, 81, 198
다타, 53, 187
하나, 47, 188
가라, 86, 183
사라, 43, 191
아하, 45, 150
나다, 95, 156
라다, 51, 169
하파, 60, 142
자마, 85, 162
자타, 89, 141
하사, 54, 193
바아, 43, 163
하타, 57, 174
다나, 97, 173
아타, 55, 192
라타, 70, 140
바바, 80, 141
하나, 73, 168
다타, 95, 143
라라, 50, 163
타아, 87, 149
마하, 53, 152
라라, 81, 162
자라, 44, 155
바파, 73, 164
나차, 69, 168
사가, 71, 163
하가, 66, 172
카차, 72, 177
라마, 59, 167
바카, 82, 143
하카, 42, 149
바카, 52, 150
나가, 63, 168
파파, 41, 141
마카, 84, 157
하다, 65, 192
자바, 40, 189
하라, 62, 150
아자, 80, 148
파사, 85, 183
파나, 66, 149
차자, 77, 180
다파, 48, 151
타바, 45, 159
사다, 98, 191
마나, 84, 176
바사, 78, 155
아파, 75, 161
사나, 68, 170
마하, 50, 177
차타, 46, 190
다마, 68, 177
마하, 81, 143
자파, 81, 173
카가, 47, 163
하가, 43, 189
나바, 87, 164
마바, 76, 152
하가, 93, 169
바타, 55, 166
아타, 79, 141
라차, 62, 149
라마, 87, 146
타사, 80, 180
나사, 92, 140
바가, 46, 184
차카, 50, 140
차파, 94, 173
라파, 51, 177
타카, 73, 192
파차, 81, 143
바가, 45, 158
아타, 64, 186
가가, 49, 168
카사, 90, 155
카하, 62, 171
카자, 46, 190
자바, 59, 158
아나, 92, 191
아바, 48, 190
아가, 49, 145
자자, 84, 195
자아, 80, 161
아바, 72, 165
마바, 88, 140
차타, 77, 196
바차, 60, 163
타나, 99, 182
타자, 40, 185
가가, 78, 140
카다, 81, 186
라카, 97, 157
카하, 49, 196
하마, 73, 142
파가, 50, 165
사나, 97, 165
라나, 51, 195
사다, 54, 142
마아, 51, 189
타사, 54, 169
바자, 64, 153
마라, 71, 176
차자, 48, 161
카사, 56, 144
타아, 97, 190
라하, 77, 148
파가, 69, 169
하하, 53, 161
자자, 93, 171
자마, 59, 140
하라, 87, 151
파사, 53, 190
가다, 86, 188
나다, 55, 195
라아, 49, 198
하마, 51, 184
타라, 50, 169
자타, 51, 159
아아, 54, 183
사바, 51, 142
아다, 44, 173
